scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,singleHCR,moveTAC,prodRegime,prodPpnChange,trendLength,capRegime,capPpnChange,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast
stationary,ref,stationary,expRate,1,coho,30,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,30,linear,1,0,FALSE,0,FALSE,0,0,0,0,0,0,0,0,NA,0.0001,1,1,1
increaseProd,ref,increaseProd,expRate,1,coho,30,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,3,30,linear,1,0,FALSE,0,FALSE,0,0,0,0,0,0,0,0,NA,0.0001,1,1,1
increaseCapacity,ref,increaseCapacity,expRate,1,coho,30,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,1,30,linear,3,0,FALSE,0,FALSE,0,0,0,0,0,0,0,0,NA,0.0001,1,1,1
increaseProd&Capacity,ref,increaseProd&Capacity,expRate,1,coho,30,fixedER,stockRecruit,0.125,0,1,FALSE,FALSE,linear,3,30,linear,3,0,FALSE,0,FALSE,0,0,0,0,0,0,0,0,NA,0.0001,1,1,1
